,log_ret,roll_vol_5,roll_vol_10,roll_vol_20,close_ma7_ratio,close_ma20_ratio,bb_width,hl_range_pct,co_range_pct,vol_mcap_ratio,log_mcap,target_vol
count,72890.0,72780.0,72670.0,72395.0,72835.0,72725.0,72725.0,72946.0,72944.0,70472.0,72946.0,72670.0
mean,0.0013083324325551986,0.05627506034150403,0.05936497738116361,0.0618041312442357,0.00595811734919024,0.021891399535314826,0.42830322520816666,0.08637362787015529,0.04487855223703898,0.2527512339575041,20.13908670922867,0.05005665297311306
std,0.0869885564804376,0.0646787654016963,0.062194267123896974,0.0594803765273857,0.10899151716449505,0.23018770351175605,0.4219581387136344,0.13901632693230573,0.37895975136974047,0.709749397356668,4.45067968654665,0.05576255228875557
min,-8.516598293197339,0.0,0.0,0.0,-0.9999955149587012,-0.9999980509018226,0.0,0.0,0.0,0.0,0.0,0.0
25%,-0.026354989387079652,0.025303783611942066,0.030788204585732764,0.03516624579350743,-0.03765491013066313,-0.07618086635753607,0.1978343650847204,0.03677479502630378,0.008903375064519737,0.02696511205148843,19.041489736121346,0.022619501926366782
50%,0.0,0.04459967276469588,0.049549005241015666,0.053244046702177986,-0.00013946622616556326,-0.0003246989639665854,0.3364924133416273,0.06411690223634157,0.02548181470410904,0.07641048721993188,20.961131880841883,0.03985294853616547
75%,0.02683307229273592,0.07174942402253716,0.07441691816407879,0.07645648571724134,0.03806929316271879,0.07796322219787255,0.5397873433046224,0.10686102713906194,0.05548760470786951,0.20919920006335702,22.35615038007039,0.06406709808906003
max,5.183620569913224,3.788491577235502,2.7025715039393563,1.9721637961325844,5.795199482788245,17.247764496784438,17.852396896407537,17.85115022043825,100.46582567246432,21.401189376280563,27.873835121766863,3.388529879553591
